Seed,Score,ExecTime,N,M,T,U,GridMean,GridStd,GridMax,GridMin,AvgGradient,MaxGradient,HighValueConcentration,MaxDistFromCenter,CenterEdgeRatio,CenterMean,EdgeMean,CornersMean,EnemyAvgDistance,EnemySpread,EnemyCentroidFromCenter,EnemyAvgValue,EnemyMinDistToHighValue
0692,133523,1875,10,3,100,2,1000.00,309.80,2001,459,241.21,790,2.48,5.00,1.09,1058.31,967.20,914.00,7.00,0.00,4.50,660.50,4.00
0693,167720,1876,10,5,100,2,1000.00,256.40,1653,625,107.04,377,2.51,5.00,1.26,1154.58,913.05,799.00,9.00,0.00,4.50,730.50,5.50
0694,99386,1869,10,6,100,4,1000.00,73.14,1118,861,78.93,230,3.76,5.00,1.04,1026.94,984.84,951.00,6.00,1.91,4.00,953.25,2.25
0695,192433,1891,10,6,100,3,1000.00,403.13,2581,452,188.72,886,1.62,4.00,1.07,1042.86,975.89,778.50,6.67,2.89,4.00,1060.33,2.33
0696,78617,1875,10,4,100,5,1000.00,244.11,1495,531,133.53,676,3.29,5.00,1.07,1043.89,975.31,835.75,6.83,0.71,1.75,1094.50,2.50
0697,150600,1854,10,8,100,2,1000.00,234.65,1520,638,88.33,447,2.00,9.00,1.19,1111.42,937.33,933.75,4.00,0.00,6.00,1216.50,1.00
0698,142197,1835,10,5,100,1,1000.00,250.00,1450,558,287.93,823,3.97,6.00,0.98,985.47,1008.17,905.50,0.00,0.00,5.00,827.00,1.00
0699,123564,1861,10,5,100,2,1000.00,490.79,2139,179,178.61,539,1.97,7.00,1.18,1109.53,938.39,709.25,7.00,0.00,3.50,645.50,6.50
0700,124533,1866,10,8,100,3,1000.00,392.89,1779,393,321.47,1193,2.81,6.00,1.12,1070.97,960.08,666.75,7.33,0.58,3.00,1403.67,2.33
0701,117410,1837,10,8,100,3,1000.00,391.36,1767,242,157.74,526,2.18,5.00,1.28,1161.81,908.98,709.75,7.33,1.64,2.33,641.00,5.00
0702,132529,1868,10,5,100,2,1000.00,258.80,1562,538,231.44,721,2.05,3.50,1.12,1071.50,959.78,841.75,1.00,0.00,6.50,794.00,2.50
0703,108220,1869,10,3,100,5,1000.00,302.75,2324,605,195.05,666,1.74,4.00,1.22,1131.58,925.98,804.50,4.00,0.67,1.33,1481.67,1.33
0704,154854,1889,10,4,100,2,1000.00,321.51,1524,541,370.08,950,5.29,6.00,0.85,898.97,1056.83,1054.00,15.00,0.00,1.50,973.50,3.00
0705,156912,1843,10,3,100,3,1000.00,319.11,1539,517,373.89,1003,5.06,7.00,0.93,955.53,1025.02,859.25,7.33,2.17,2.67,1029.67,2.67
0706,132802,1866,10,6,100,2,1000.00,176.25,1294,672,207.44,587,4.25,6.00,0.98,988.42,1006.52,1026.00,12.00,0.00,3.00,1122.50,0.50
0707,186946,1882,10,3,100,3,1000.00,167.56,1262,711,209.03,534,4.15,2.00,1.04,1025.81,985.48,1024.25,3.33,1.00,3.00,957.33,0.67
0708,122098,1863,10,7,100,3,1000.00,128.54,1212,790,151.43,408,5.21,6.00,1.01,1006.64,996.27,975.25,6.67,0.96,2.33,1039.33,1.67
0709,330547,1880,10,2,100,5,1000.00,270.52,1627,530,113.38,405,1.67,2.00,1.51,1275.36,845.11,600.50,1.00,0.00,5.50,1002.50,3.50
0710,118398,1843,10,7,100,3,1000.00,771.92,3560,303,380.83,1714,1.62,5.00,1.11,1068.28,961.59,689.25,5.33,1.95,4.33,1568.67,1.67
0711,167503,1895,10,4,100,2,1000.00,231.13,1579,672,187.73,783,2.53,3.00,0.98,984.94,1008.47,940.25,2.00,0.00,4.00,1217.00,1.00
0712,191573,1834,10,7,100,1,1000.00,191.29,1319,653,217.16,659,4.86,8.00,1.02,1014.67,991.75,946.75,0.00,0.00,4.00,1132.00,1.00
0713,101611,1871,10,4,100,5,1000.00,349.98,1554,463,422.39,1065,3.93,5.00,1.06,1039.25,977.92,943.75,4.67,0.91,5.50,898.25,2.25
0714,202265,1867,10,3,100,1,1000.00,215.87,1365,654,232.12,646,3.55,4.00,0.97,983.83,1009.09,837.00,0.00,0.00,2.00,1185.00,2.00
0715,202550,1867,10,2,100,5,1000.00,326.00,1938,457,306.26,831,2.81,3.00,1.03,1017.58,990.11,793.50,13.00,0.00,1.50,623.00,5.00
0716,121118,1878,10,2,100,3,1000.00,480.64,1925,318,552.99,1535,4.81,7.00,1.09,1054.36,969.42,556.75,7.00,0.00,5.50,940.00,1.00
0717,103585,1844,10,3,100,3,1000.00,371.25,1678,307,144.27,438,1.82,5.00,1.25,1148.92,916.23,676.50,6.00,2.08,2.33,927.33,4.33
0718,98280,1854,10,6,100,3,1000.00,217.95,1777,556,128.55,548,2.10,5.00,1.19,1111.11,937.50,731.50,6.67,1.76,3.00,898.67,3.67
0719,87853,1856,10,6,100,2,1000.00,368.30,1743,428,402.59,1269,4.88,5.00,1.06,1038.25,978.48,1277.25,6.00,0.00,5.00,1193.00,2.00
0720,110660,1852,10,7,100,5,1000.00,245.30,2280,654,124.16,775,1.57,2.00,1.33,1190.89,892.62,825.00,7.40,1.28,1.80,1060.40,4.00
0721,258344,1855,10,4,100,1,1000.00,17.39,1027,963,20.63,56,5.26,5.00,1.00,1001.08,999.39,991.75,0.00,0.00,1.00,982.00,2.00
0722,97876,1848,10,7,100,2,1000.00,206.86,2096,666,123.61,738,2.79,4.00,1.18,1106.78,939.94,808.00,3.00,0.00,5.50,979.50,2.00
0723,88634,1870,10,5,100,5,1000.00,208.91,1749,657,115.30,547,1.97,3.00,1.19,1115.78,934.88,818.75,8.60,1.40,0.40,1008.40,3.20
0724,307568,1838,10,5,100,1,1000.00,403.58,1947,465,120.09,405,1.69,6.00,1.06,1037.39,978.97,872.25,0.00,0.00,5.00,1939.00,0.00
0725,141570,1881,10,5,100,3,1000.00,357.56,1811,625,81.40,274,1.55,6.00,1.07,1045.53,974.39,887.50,4.00,1.39,2.33,848.67,6.33
0726,88511,1800,10,7,100,3,1000.00,547.37,1978,337,303.46,1420,2.48,5.00,0.99,995.92,1002.30,839.50,5.33,1.35,4.33,1320.00,1.67
0727,256575,1851,10,5,100,1,1000.00,785.70,2885,226,290.81,1374,1.55,4.00,1.52,1281.94,841.41,544.50,0.00,0.00,5.00,229.00,6.00
0728,94154,1868,10,6,100,3,1000.00,446.80,1832,375,500.77,1299,4.07,5.00,1.00,1001.83,998.97,998.75,5.33,1.33,2.00,1177.00,2.00
0729,213821,1878,10,3,100,2,1000.00,493.58,2213,254,208.50,759,1.62,7.00,1.21,1125.00,929.69,763.75,7.00,0.00,3.50,742.50,7.50
0730,96063,1866,10,3,100,5,1000.00,166.00,1764,666,66.76,495,1.62,4.00,1.11,1068.78,961.31,828.25,6.00,0.88,5.00,812.67,6.00
0731,137339,1885,10,4,100,3,1000.00,222.74,1818,618,96.16,503,1.74,2.00,1.22,1131.75,925.89,756.50,8.00,3.10,1.00,1074.67,2.33
0732,164989,1873,10,3,100,3,1000.00,209.91,1556,644,70.73,250,2.44,6.00,1.07,1041.44,976.69,868.50,6.00,1.20,3.00,963.67,4.33
0733,197056,1885,10,3,100,4,1000.00,591.35,2922,401,413.82,2487,1.85,5.00,0.76,833.47,1093.67,1207.75,6.67,2.00,2.00,626.33,7.00
0734,171340,1850,10,8,100,3,1000.00,286.24,1625,560,87.74,253,1.62,5.00,1.08,1052.53,970.45,827.75,6.00,0.67,2.00,1209.00,2.00
0735,131099,1889,10,4,100,4,1000.00,383.29,1686,437,446.14,1208,4.50,8.00,0.92,947.67,1029.44,1170.25,8.67,1.29,1.50,1235.50,2.25
0736,197400,1828,10,6,100,1,1000.00,286.56,2105,569,307.88,1341,4.21,4.00,1.20,1119.86,932.58,961.25,0.00,0.00,1.00,1094.00,2.00
0737,397365,1872,10,2,100,2,1000.00,367.58,1498,589,112.81,897,2.13,3.00,1.48,1263.22,851.94,740.75,8.00,0.00,5.00,876.50,5.50
0738,155416,1843,10,6,100,2,1000.00,600.80,2630,223,512.75,2045,2.17,4.00,0.89,930.14,1039.30,1009.75,13.00,0.00,2.50,538.00,4.00
0739,123691,1855,10,3,100,4,1000.00,258.86,2053,753,88.31,730,1.55,5.00,1.09,1057.11,967.88,869.50,9.33,1.95,2.67,936.67,3.33
0740,275283,1856,10,4,100,1,1000.00,253.90,1763,542,169.87,543,1.92,4.00,1.06,1037.56,978.88,773.00,0.00,0.00,5.00,604.00,5.00
0741,218134,1867,10,7,100,2,1000.00,516.06,2211,372,143.31,694,1.69,4.00,1.03,1021.64,987.83,828.00,5.00,0.00,2.50,1695.00,1.50
0742,419773,1866,10,2,100,5,1000.00,366.88,1830,403,157.01,411,1.45,1.00,1.79,1391.92,779.55,525.00,2.00,0.00,6.00,838.00,4.00
0743,280194,1815,10,8,100,1,1000.00,402.15,1762,365,438.33,1327,5.06,7.00,0.82,874.83,1070.41,1030.50,0.00,0.00,6.00,1129.00,1.00
0744,111909,1859,10,5,100,2,1000.00,322.46,2467,480,281.76,1182,2.64,5.00,1.02,1012.64,992.89,986.00,7.00,0.00,5.50,976.00,4.50
0745,72036,1851,10,6,100,5,1000.00,459.82,1928,307,559.98,1621,5.75,7.00,0.94,959.11,1023.00,910.75,6.80,1.77,1.20,690.00,2.40
0746,248560,1831,10,6,100,1,1000.00,438.37,1970,391,511.51,1579,4.38,6.00,1.04,1022.97,987.08,1201.75,0.00,0.00,8.00,898.00,1.00
0747,206643,1885,10,3,100,3,1000.00,287.06,2299,567,267.24,1034,3.01,6.00,1.02,1010.78,993.94,1028.00,7.33,0.77,2.67,1017.33,2.33
0748,336890,1861,10,3,100,1,1000.00,254.36,1822,567,152.49,418,1.67,3.00,1.23,1138.11,922.31,810.75,0.00,0.00,6.00,611.00,6.00
0749,189623,1870,10,3,100,3,1000.00,25.69,1040,948,29.58,91,4.20,5.00,1.00,1000.06,999.97,1006.00,4.67,1.20,3.00,984.67,2.33
0750,83369,1845,10,8,100,4,1000.00,145.75,1228,743,175.86,466,4.14,6.00,0.95,970.67,1016.50,1037.25,3.00,0.41,3.50,1063.75,1.25
0751,110012,1874,10,3,100,5,1000.00,153.75,1247,718,188.49,476,3.98,3.00,1.01,1004.31,997.58,858.25,8.00,2.34,3.33,1081.33,2.00
0752,74313,1875,10,4,100,3,1000.00,240.52,1776,618,243.97,913,3.72,6.00,0.98,984.36,1008.80,1185.00,6.67,1.71,1.00,981.67,2.00
0753,108100,1865,10,6,100,3,1000.00,381.54,1702,401,441.93,1257,4.60,7.00,0.93,955.42,1025.08,1072.75,8.67,2.19,2.00,1278.00,0.67
0754,197630,1859,10,2,100,4,1000.00,202.08,1360,676,230.95,657,4.73,5.00,1.03,1016.08,990.95,902.00,6.00,0.00,5.00,865.50,2.50
0755,171347,1850,10,8,100,4,1000.00,202.97,1602,597,147.93,537,2.73,3.00,1.15,1092.56,947.94,854.75,7.00,1.83,0.50,929.25,3.25
0756,286046,1848,10,5,100,1,1000.00,471.13,1899,377,552.94,1471,5.42,8.00,0.77,837.61,1091.34,652.50,0.00,0.00,5.00,1041.00,1.00
0757,302146,1822,10,6,100,1,1000.00,243.52,1542,586,103.93,338,1.45,3.00,1.48,1261.61,852.84,627.25,0.00,0.00,6.00,847.00,5.00
0758,100851,1877,10,3,100,2,1000.00,317.50,1564,493,388.47,1037,4.74,4.00,1.02,1010.11,994.31,1084.50,8.00,0.00,3.00,683.50,1.50
0759,75591,1831,10,8,100,5,1000.00,308.00,1748,497,279.20,1082,2.51,6.00,1.19,1116.08,934.70,871.50,8.40,2.95,3.20,749.20,5.00
0760,221011,1854,10,3,100,2,1000.00,384.14,1796,237,156.07,464,1.82,6.00,1.26,1152.50,914.22,679.25,6.00,0.00,5.00,949.00,3.00
0761,311428,1855,10,4,100,1,1000.00,510.44,2557,326,535.19,2169,4.26,5.00,0.81,871.03,1072.55,1060.25,0.00,0.00,6.00,1256.00,1.00
0762,117362,1872,10,3,100,5,1000.00,265.79,2070,583,116.75,523,2.02,5.00,1.01,1005.36,996.98,927.75,7.33,0.67,3.33,922.67,7.00
0763,83315,1814,10,8,100,5,1000.00,401.95,3273,414,283.12,1642,2.10,2.00,1.42,1233.64,868.58,727.00,6.40,1.44,4.00,908.80,3.80
0764,132032,1870,10,4,100,2,1000.00,121.30,1531,962,36.09,564,4.87,8.00,0.96,973.11,1015.12,972.75,9.00,0.00,4.50,1245.00,3.50
0765,177347,1883,10,3,100,2,1000.00,158.60,1285,526,72.48,407,3.21,2.00,1.15,1092.64,947.89,807.75,7.00,0.00,2.50,1026.50,2.00
0766,158338,1863,10,4,100,3,1000.00,220.08,1717,638,94.41,348,1.60,4.00,1.10,1061.97,965.14,843.25,10.00,2.83,1.33,927.67,4.67
0767,108809,1874,10,4,100,5,1000.00,493.93,2081,301,558.98,1674,4.45,6.00,0.92,950.33,1027.94,960.25,6.33,1.50,2.00,992.00,1.25
0768,185542,1829,10,6,100,1,1000.00,522.89,1925,308,600.43,1563,4.50,6.00,1.09,1058.03,967.36,739.50,0.00,0.00,6.00,408.00,1.00
0769,365271,1900,10,2,100,3,1000.00,481.88,2293,393,454.54,1405,5.26,5.00,1.03,1021.64,987.83,1058.50,11.00,0.00,1.50,477.50,4.00
0770,168004,1890,10,7,100,2,1000.00,226.15,1705,763,68.87,525,2.00,5.00,1.00,1002.61,998.53,866.50,5.00,0.00,5.50,828.00,6.50
0771,86299,1877,10,6,100,5,1000.00,406.26,1753,351,478.19,1346,4.93,3.00,1.07,1045.00,974.69,986.00,5.20,1.59,3.20,968.40,1.80
0772,85940,1873,10,4,100,5,1000.00,278.83,1590,470,170.71,703,2.10,4.00,1.26,1151.19,914.95,802.00,9.00,1.47,2.00,951.00,4.00
0773,219731,1870,10,2,100,4,1000.00,549.24,2428,291,432.97,1733,2.36,6.00,0.93,955.67,1024.94,933.50,8.00,0.00,3.00,1474.00,2.00
0774,193548,1883,10,6,100,2,1000.00,374.55,1837,466,436.49,1259,4.23,5.00,0.99,994.58,1003.05,999.50,14.00,0.00,0.00,640.50,2.50
0775,199104,1867,10,8,100,5,1000.00,170.27,1474,682,81.91,267,2.76,5.00,1.11,1068.03,961.73,829.00,4.00,0.97,1.00,1076.00,2.40
0776,141190,1924,10,5,100,3,1000.00,259.60,1870,552,155.73,546,2.15,5.00,1.09,1057.67,967.56,961.00,6.00,0.58,2.00,1124.67,1.33
0777,183967,1890,10,4,100,2,1000.00,307.01,1887,542,262.09,1261,1.85,5.00,0.93,951.50,1027.28,843.50,12.00,0.00,3.00,802.00,4.50
0778,149110,1878,10,2,100,5,1000.00,359.31,2502,515,161.71,1105,1.62,4.00,1.16,1094.42,946.89,778.25,5.00,0.00,2.50,1081.00,1.50
0779,193525,1886,10,3,100,1,1000.00,25.80,1042,952,30.99,87,4.43,7.00,1.01,1003.61,997.97,976.50,0.00,0.00,5.00,1007.00,2.00
0780,131108,1872,10,3,100,2,1000.00,130.90,1192,782,157.82,388,4.61,5.00,0.99,994.94,1002.84,913.50,6.00,0.00,2.00,978.00,1.00
0781,138797,1869,10,6,100,4,1000.00,263.44,1412,513,322.04,796,5.39,4.00,0.89,924.97,1042.20,634.75,4.33,1.29,2.00,928.50,3.25
0782,121187,1891,10,4,100,3,1000.00,480.02,2247,411,452.44,1709,2.53,5.00,0.94,958.33,1023.44,1314.25,6.00,1.26,0.67,424.33,2.00
0783,117384,1884,10,4,100,3,1000.00,495.51,1910,292,179.72,880,2.45,6.00,1.17,1100.14,943.67,930.75,8.67,2.52,2.33,571.33,5.33
0784,117969,1858,10,5,100,4,1000.00,301.04,1560,508,348.63,987,5.36,4.00,1.09,1056.39,968.28,1276.00,6.50,2.04,0.75,1051.25,1.75
0785,327407,1855,10,4,100,1,1000.00,271.88,2444,631,166.69,895,3.19,2.00,1.29,1167.19,905.95,729.25,0.00,0.00,8.00,796.00,5.00
0786,417654,1864,10,2,100,2,1000.00,479.79,2177,382,373.34,1717,2.26,6.50,0.89,924.92,1042.23,925.75,12.00,0.00,1.00,719.50,3.00
0787,110633,1844,10,4,100,1,1000.00,95.43,1168,832,109.86,311,5.36,7.00,0.99,996.61,1001.91,1050.25,0.00,0.00,5.00,992.00,1.00
0788,110901,1788,10,8,100,1,1000.00,568.00,2758,252,449.79,2261,2.60,6.00,0.80,863.06,1077.03,1034.25,0.00,0.00,5.00,2758.00,0.00
0789,133859,1887,10,4,100,3,1000.00,417.84,2517,606,172.26,942,1.60,4.00,1.48,1262.06,852.59,624.50,4.00,0.51,3.33,970.33,4.33
0790,512754,1889,10,2,100,4,1000.00,208.13,1897,687,67.94,489,2.30,9.00,1.09,1055.14,968.98,1058.50,8.00,0.00,4.00,824.00,7.00
0791,202706,1892,10,2,100,5,1000.00,477.62,2273,397,372.78,1678,2.07,4.00,0.90,936.53,1035.70,967.75,6.00,0.00,4.00,588.00,4.00
0792,210220,1882,10,5,100,2,1000.00,221.83,1955,669,128.94,549,1.55,3.00,1.24,1141.11,920.62,787.50,8.00,0.00,2.00,1191.00,2.00
0793,94358,1860,10,5,100,5,1000.00,459.21,1973,382,314.33,1384,4.26,8.00,0.87,913.11,1048.88,1165.00,7.00,0.84,1.00,907.20,3.20
0794,225451,1871,10,3,100,5,1000.00,243.07,1759,609,190.92,640,2.02,3.00,1.26,1154.58,913.05,939.25,5.33,1.68,3.33,878.33,2.33
0795,136678,1875,10,5,100,2,1000.00,236.56,1432,608,278.99,800,4.71,5.00,0.99,996.47,1001.98,1106.00,9.00,0.00,0.50,971.00,1.00
0796,387423,1865,10,2,100,3,1000.00,209.15,1318,631,241.08,674,3.67,5.00,1.09,1054.47,969.36,978.50,6.00,0.00,4.00,997.00,2.50
0797,79107,1863,10,4,100,4,1000.00,293.33,1655,332,145.96,655,1.93,6.00,1.15,1092.83,947.78,749.50,7.17,0.91,1.75,1020.50,4.00
0798,69492,1849,10,4,100,5,1000.00,148.29,1262,762,159.72,457,4.91,8.00,0.97,981.92,1010.17,1069.75,8.83,2.96,2.25,1015.25,0.75
0799,195891,1803,10,8,100,1,1000.00,363.82,2087,467,191.99,934,1.67,3.00,1.44,1244.08,862.70,675.25,0.00,0.00,4.00,1467.00,1.00
0800,159365,1871,10,6,100,5,1000.00,280.73,1873,571,210.49,723,2.33,5.00,1.05,1031.92,982.05,888.50,7.00,1.23,0.80,1023.00,2.80
0801,156611,1879,10,5,100,5,1000.00,164.84,1396,643,92.49,293,3.39,5.00,1.04,1024.94,985.97,952.50,6.00,2.05,2.00,1023.80,2.40
0802,320533,1858,10,2,100,1,1000.00,507.05,2167,334,569.79,1648,4.94,5.00,1.07,1044.17,975.16,1203.25,0.00,0.00,5.00,1078.00,3.00
0803,333002,1860,10,3,100,1,1000.00,408.55,1821,354,126.95,490,1.62,9.00,1.12,1074.03,958.36,865.00,0.00,0.00,2.00,738.00,6.00
0804,165248,1839,10,5,100,1,1000.00,125.05,1217,737,161.41,429,4.93,8.00,1.01,1003.47,998.05,1106.25,0.00,0.00,8.00,800.00,2.00
0805,219585,1881,10,5,100,3,1000.00,501.22,1975,222,527.37,1525,2.60,4.00,1.17,1099.75,943.89,1024.50,10.00,2.87,2.33,870.00,5.00
0806,108186,1843,10,4,100,5,1000.00,287.45,1904,589,119.88,437,1.62,6.00,1.07,1041.89,976.44,855.00,3.83,1.49,4.25,754.75,6.25
0807,91239,1821,10,7,100,3,1000.00,85.28,1146,848,100.88,298,4.60,3.00,1.01,1006.94,996.09,960.50,8.00,1.45,3.33,1030.67,1.33
0808,176719,1864,10,2,100,3,1000.00,466.17,2049,449,128.41,426,1.60,5.00,1.22,1131.44,926.06,731.75,4.00,0.00,5.00,635.00,6.00
0809,129038,1876,10,2,100,4,1000.00,492.95,1967,331,562.32,1604,4.88,5.00,0.87,911.14,1049.98,844.25,12.00,0.00,2.00,428.00,1.50
0810,212297,1871,10,3,100,1,1000.00,501.29,2039,311,551.87,1682,4.68,3.00,0.87,914.83,1047.91,1231.00,0.00,0.00,3.00,2039.00,0.00
0811,72159,1871,10,4,100,3,1000.00,418.26,1881,409,501.67,1448,4.50,3.00,1.00,998.11,1001.06,989.00,5.33,1.53,5.00,915.33,1.67
0812,75345,1833,10,7,100,5,1000.00,173.41,1581,700,91.97,311,1.82,3.00,1.16,1096.19,945.89,867.75,8.20,3.46,2.20,922.80,4.60
0813,176592,1891,10,6,100,3,1000.00,244.29,1674,570,157.63,709,1.98,4.00,1.23,1135.81,923.61,740.75,5.33,1.35,3.67,900.00,3.00
0814,77259,1817,10,8,100,4,1000.00,336.82,1920,456,234.97,842,1.85,5.00,1.06,1039.11,978.00,1018.50,7.50,3.45,2.25,830.75,6.75
0815,236111,1864,10,3,100,5,1000.00,184.77,1647,681,76.61,392,1.83,5.00,1.00,997.56,1001.38,972.25,6.00,0.51,2.33,1008.00,4.00
0816,171073,1867,10,3,100,4,1000.00,382.81,1651,410,420.39,1143,3.55,3.00,1.07,1042.86,975.89,1274.75,7.33,2.36,1.33,780.00,1.67
0817,91954,1861,10,3,100,4,1000.00,121.94,1216,784,127.25,400,4.51,4.00,1.02,1014.86,991.64,953.75,8.00,1.20,1.33,1129.33,1.00
0818,101833,1839,10,3,100,5,1000.00,194.08,1533,679,123.34,365,1.82,5.00,1.06,1035.53,980.02,861.25,3.33,0.77,6.33,1335.33,0.33
0819,151220,1838,10,5,100,1,1000.00,303.79,1680,553,323.31,879,3.70,7.00,0.97,977.92,1012.42,1038.25,0.00,0.00,5.00,608.00,3.00
0820,185625,1838,10,8,100,2,1000.00,221.91,1515,591,98.20,509,1.75,4.00,1.20,1121.31,931.77,813.75,5.00,0.00,4.50,1048.00,5.50
0821,327003,1879,10,2,100,5,1000.00,536.52,2226,237,160.67,559,1.55,5.00,1.15,1092.56,947.94,852.75,12.00,0.00,3.00,891.50,4.00
0822,177111,1845,10,6,100,1,1000.00,483.04,1961,332,515.22,1535,5.70,7.00,0.78,843.47,1088.05,944.50,0.00,0.00,6.00,1259.00,4.00
0823,235745,1864,10,3,100,1,1000.00,431.84,1842,311,487.59,1423,4.40,3.00,1.05,1033.72,981.03,977.50,0.00,0.00,4.00,1024.00,1.00
0824,248156,1886,10,2,100,2,1000.00,42.09,1070,924,52.66,139,4.35,4.00,0.99,994.94,1002.84,1010.00,7.00,0.00,2.50,1013.00,2.50
0825,117861,1882,10,5,100,5,1000.00,611.00,3388,597,178.07,1627,1.55,6.00,0.98,985.03,1008.42,752.25,6.40,1.80,2.80,1071.40,4.80
0826,299855,1859,10,3,100,2,1000.00,424.57,1919,320,156.99,515,1.62,4.00,1.21,1123.17,930.72,742.75,9.00,0.00,4.50,1307.50,2.50
0827,133199,1883,10,4,100,4,1000.00,310.85,1816,472,234.53,747,2.26,2.00,1.23,1135.28,923.91,739.25,5.67,1.38,1.00,1010.00,2.25
0828,200103,1848,10,4,100,1,1000.00,202.01,1759,646,103.75,452,2.66,4.00,1.03,1019.42,989.08,910.25,0.00,0.00,6.00,690.00,8.00
0829,586834,1881,10,2,100,4,1000.00,334.38,1411,666,84.09,712,2.50,5.00,1.05,1029.33,983.50,1006.25,9.00,0.00,3.50,1382.00,1.00
0830,172060,1872,10,7,100,3,1000.00,395.53,1837,404,126.74,575,1.65,6.00,1.23,1138.06,922.34,792.00,8.67,2.46,2.33,920.33,4.67
0831,130213,1806,10,7,100,1,1000.00,150.08,1250,749,175.21,480,3.93,5.00,1.04,1023.00,987.06,901.75,0.00,0.00,3.00,1094.00,1.00
0832,259497,1886,10,2,100,2,1000.00,268.21,1599,467,117.92,375,2.00,3.00,1.40,1224.25,873.86,597.25,3.00,0.00,5.50,676.00,5.00
0833,155621,1837,10,8,100,2,1000.00,283.60,1539,525,323.39,955,4.51,4.00,1.04,1023.67,986.69,981.75,3.00,0.00,1.50,1014.50,1.50
0834,115294,1860,10,3,100,3,1000.00,505.84,2204,640,85.51,678,1.60,8.00,0.94,960.53,1022.20,1030.50,2.00,0.69,7.33,647.00,12.33
0835,277848,1829,10,8,100,1,1000.00,266.45,1591,601,101.34,301,1.82,2.00,1.28,1160.19,909.89,786.75,0.00,0.00,7.00,702.00,7.00
0836,166707,1858,10,6,100,2,1000.00,744.90,5233,402,399.77,2372,2.21,5.00,0.75,822.31,1099.95,800.75,10.00,0.00,3.00,643.50,4.00
0837,138427,1886,10,5,100,3,1000.00,155.46,1234,730,185.34,500,4.63,5.00,1.03,1016.19,990.89,986.25,4.67,1.45,4.33,999.67,0.67
0838,256965,1826,10,8,100,1,1000.00,125.57,1256,930,23.54,322,2.14,6.00,0.97,981.44,1010.44,1017.75,0.00,0.00,4.00,1255.00,0.00
0839,66295,1800,10,8,100,5,1000.00,391.88,1798,364,304.51,1223,2.91,2.00,1.16,1094.36,946.92,723.50,8.40,3.21,2.00,1209.40,3.00
0840,155356,1857,10,6,100,2,1000.00,172.05,1455,921,64.70,533,1.75,1.00,1.17,1104.03,941.48,935.50,5.00,0.00,1.50,1184.50,0.50
0841,224226,1823,10,7,100,1,1000.00,582.11,2461,273,205.01,785,2.00,8.00,1.04,1024.64,986.14,858.00,0.00,0.00,3.00,615.00,7.00
0842,123188,1879,10,5,100,4,1000.00,87.86,1136,846,111.87,277,4.82,8.00,1.00,997.69,1001.30,1047.25,5.17,1.80,1.75,891.00,1.75
0843,114681,1851,10,4,100,3,1000.00,215.87,1572,685,66.93,323,1.55,5.00,1.04,1024.97,985.95,909.75,10.00,3.76,1.00,982.67,5.00
0844,124920,1785,10,8,100,2,1000.00,436.26,3050,369,241.71,1193,2.33,7.00,0.97,979.39,1011.59,911.50,13.00,0.00,1.50,1096.00,5.50
0845,305679,1820,10,8,100,1,1000.00,169.66,1601,696,71.77,300,2.03,6.00,1.04,1023.22,986.94,936.25,0.00,0.00,5.00,1004.00,6.00
0846,105402,1859,10,6,100,4,1000.00,256.15,1981,605,171.89,649,1.67,2.00,1.29,1168.78,905.06,722.75,5.67,1.78,2.50,1098.75,2.75
0847,105381,1850,10,6,100,4,1000.00,289.73,1688,578,193.14,872,1.82,5.00,1.16,1096.56,945.69,793.75,5.17,1.55,2.75,943.25,5.50
0848,109021,1849,10,8,100,4,1000.00,567.09,2451,284,237.33,777,1.60,3.00,1.60,1313.89,823.44,579.25,8.83,1.78,1.25,838.50,4.75
0849,220516,1827,10,6,100,1,1000.00,414.86,1839,401,466.06,1343,4.93,2.00,0.91,941.92,1032.67,904.75,0.00,0.00,5.00,430.00,2.00
0850,97730,1825,10,8,100,5,1000.00,501.85,1860,264,563.03,1498,4.03,5.00,0.84,888.67,1062.62,735.25,8.60,2.28,1.80,580.20,2.20
0851,152187,1884,10,4,100,5,1000.00,241.52,1779,568,197.08,601,2.06,8.00,0.97,981.50,1010.41,1084.50,4.83,0.71,2.25,1233.75,2.00
0852,294264,1871,10,4,100,1,1000.00,282.02,1823,538,227.92,704,2.73,5.00,0.97,982.81,1009.67,804.50,0.00,0.00,4.00,1027.00,4.00
0853,124233,1830,10,8,100,2,1000.00,284.54,1523,496,324.22,915,5.22,5.00,0.93,956.39,1024.53,959.75,5.00,0.00,5.50,602.50,3.00
0854,217812,1856,10,7,100,2,1000.00,304.28,1990,325,227.89,1061,4.17,3.00,1.26,1150.06,915.59,693.50,7.00,0.00,3.50,800.50,2.50
0855,79122,1834,10,6,100,5,1000.00,182.21,1298,695,230.39,567,4.93,8.00,0.97,982.58,1009.80,853.25,6.00,1.98,2.20,858.00,1.60
0856,208333,1806,10,8,100,1,1000.00,344.55,1761,536,400.32,1193,4.21,5.00,1.05,1032.14,981.92,1146.50,0.00,0.00,6.00,1189.00,1.00
0857,115057,1852,10,6,100,3,1000.00,128.95,1572,876,90.14,646,4.89,4.00,1.02,1012.22,993.12,1011.50,8.00,1.07,2.33,1106.00,2.33
